time_iso8601,forks_cumulative
2023-08-11 00:00:00+00:00,1
2023-08-18 00:00:00+00:00,2
2023-08-24 00:00:00+00:00,3
2023-08-31 00:00:00+00:00,4
2023-09-04 00:00:00+00:00,7
2023-10-07 00:00:00+00:00,8
2023-10-24 00:00:00+00:00,10
2023-10-26 00:00:00+00:00,11
2023-11-04 00:00:00+00:00,12
2023-11-07 00:00:00+00:00,15
2023-11-24 00:00:00+00:00,16
2023-11-29 00:00:00+00:00,17
2023-12-02 00:00:00+00:00,18
2023-12-17 00:00:00+00:00,19
2023-12-25 00:00:00+00:00,20
2023-12-28 00:00:00+00:00,21
2024-01-05 00:00:00+00:00,22
2024-01-10 00:00:00+00:00,23
2024-01-12 00:00:00+00:00,24
2024-01-24 00:00:00+00:00,25
2024-01-28 00:00:00+00:00,26
2024-01-31 00:00:00+00:00,27
2024-02-06 00:00:00+00:00,28
2024-02-18 00:00:00+00:00,29
2024-02-20 00:00:00+00:00,30
2024-02-21 00:00:00+00:00,31
2024-02-22 00:00:00+00:00,32
2024-02-29 00:00:00+00:00,33
2024-03-02 00:00:00+00:00,34
2024-03-04 00:00:00+00:00,35
2024-03-20 00:00:00+00:00,38
2024-03-22 00:00:00+00:00,39
2024-03-26 00:00:00+00:00,40
2024-03-31 00:00:00+00:00,41
2024-04-02 00:00:00+00:00,43
2024-04-13 00:00:00+00:00,44
2024-04-19 00:00:00+00:00,45
2024-04-21 00:00:00+00:00,46
2024-04-23 00:00:00+00:00,48
2024-04-28 00:00:00+00:00,49
2024-05-10 00:00:00+00:00,50
2024-05-14 00:00:00+00:00,51
2024-05-16 00:00:00+00:00,52
2024-05-21 00:00:00+00:00,53
2024-06-05 00:00:00+00:00,54
2024-06-13 00:00:00+00:00,55
2024-06-16 00:00:00+00:00,56
2024-07-01 00:00:00+00:00,57
2024-07-09 00:00:00+00:00,58
2024-07-17 00:00:00+00:00,60
2024-07-29 00:00:00+00:00,61
2024-08-05 00:00:00+00:00,62
